"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2017","1.0263","1.0167","1.0273","1.0021","","0.96%"
"11/01/2017","1.0165","1.0024","1.0228","0.9962","","1.44%"
"10/01/2017","1.0021","1.0328","1.0330","0.9962","","-2.95%"
"09/01/2017","1.0326","1.0431","1.0615","1.0235","","-1.00%"
"08/01/2017","1.0430","1.0345","1.0605","1.0231","","0.87%"
"07/01/2017","1.0340","1.0431","1.0596","1.0280","","-0.89%"
"06/01/2017","1.0433","1.0334","1.0469","1.0234","","0.99%"
"05/01/2017","1.0331","1.0058","1.0342","0.9901","","2.84%"
"04/01/2017","1.0046","0.9975","1.0108","0.9893","","0.79%"
"03/01/2017","0.9967","0.9942","1.0191","0.9830","","0.27%"
"02/01/2017","0.9940","1.0108","1.0134","0.9859","","-1.64%"
"01/01/2017","1.0106","0.9801","1.0143","0.9674","","2.98%"
"12/01/2016","0.9814","0.9834","0.9980","0.9664","","-0.11%"
"11/01/2016","0.9825","1.0112","1.0475","0.9797","","-2.80%"
"10/01/2016","1.0108","1.0284","1.0316","0.9999","","-1.78%"
"09/01/2016","1.0291","1.0165","1.0375","1.0114","","1.31%"
"08/01/2016","1.0158","1.0314","1.0488","1.0137","","-1.48%"
"07/01/2016","1.0311","1.0245","1.0380","1.0045","","0.66%"
"06/01/2016","1.0243","1.0064","1.0505","1.0046","","1.80%"
"05/01/2016","1.0062","1.0435","1.0591","1.0042","","-3.42%"
"04/01/2016","1.0418","1.0397","1.0531","1.0205","","0.26%"
"03/01/2016","1.0391","1.0016","1.0450","0.9904","","3.81%"
"02/01/2016","1.0010","0.9779","1.0352","0.9754","","2.48%"
"01/01/2016","0.9768","0.9986","1.0121","0.9746","","-2.09%"
"12/01/2015","0.9977","0.9718","1.0219","0.9698","","2.64%"
"11/01/2015","0.9720","1.0123","1.0169","0.9678","","-3.91%"
"10/01/2015","1.0116","1.0278","1.0553","1.0036","","-1.50%"
"09/01/2015","1.0270","1.0340","1.0500","1.0155","","-0.68%"
"08/01/2015","1.0340","1.0349","1.0806","1.0093","","-0.07%"
